1.1.1			
ἀριστερὰ	ἀριστερός	Case: accusative, Degree: positive, Gender: neuter, Number: plural	left, on the left
ἔχει	ἔχω	Mood: indicative, Number: singular, Person: third, Tense: present, VerbForm: finite, Voice: active	have, hold; be able; (+ adv.) be; (mid.) cling to, be next to (+ gen.)
λαμπρὰν	λαμπρός	Case: accusative, Degree: positive, Gender: feminine, Number: singular	bright, brilliant, radiant
ἀσπίδα	ἀσπίδης	Case: accusative, Gender: feminine, Number: singular	
1.3.7			
Πάντες	πᾶς	Case: nominative, Gender: masculine, Number: plural	all, the whole
ὁπλῖται	ὁπλίτης	Case: nominative, Gender: masculine, Number: plural	heavy-armed, armed
δόρατα	δόρυ	Case: accusative, Gender: neuter, Number: plural	tree, plank, spear
φέρουσιν	φέρω	Mood: indicative, Number: plural, Person: third, Tense: present, VerbForm: finite, Voice: active	to bear
1.3.8			
Ζωστήρ	Ζωστήρ	Case: nominative, Gender: masculine, Number: singular	
σκύτινος	σκύτινος	Case: nominative, Degree: positive, Gender: masculine, Number: singular	leathern, made of leather
ἀνείχει	ἀνέχω	Aspect: imperfective, Mood: indicative, Number: singular, Person: third, Tense: past, VerbForm: finite, Voice: active	to hold up; (mid.) endure, put up with
ξίφος	ξίφος	Case: accusative, Gender: neuter, Number: singular	a sword
1.3.9			
ξίφος	ξίφος	Case: nominative, Gender: neuter, Number: singular	a sword
ὀξύ	ὀξύς	Case: nominative, Degree: positive, Gender: neuter, Number: singular	wood sorrel, Oxalis Acetosella
ἐστιν	ἔστινον	Case: vocative, Gender: masculine, Number: singular	
1.4.0			
Torch-race	Torch-race	Case: genitive, Degree: positive, Gender: masculine, Number: singular	
1.4.1	1.4.1	Case: genitive, Gender: masculine, Number: singular	
Ἀθηναῖοι	Ἀθηναῖος	Case: nominative, Degree: positive, Gender: masculine, Number: plural	Athenian, of Athens
ἐθεράπευον	θεραπεύω	Aspect: imperfective, Mood: indicative, Number: plural, Person: third, Tense: past, VerbForm: finite, Voice: active	to be an attendant, do service
πολλοὺς	πολύς	Case: accusative, Degree: positive, Gender: masculine, Number: plural	much, many
θεούς	θεός	Case: accusative, Gender: masculine, Number: plural	god
1.4.2	1.4.2		
Προμηθεία	προμηθεία	Case: nominative, Gender: feminine, Number: singular	
πυρὸς	πῦρ	Case: genitive, Gender: neuter, Number: singular	fire
θεὸν	θεός	Case: accusative, Gender: masculine, Number: singular	god
ἐνόμιζον	νομίζω	Aspect: imperfective, Mood: indicative, Number: plural, Person: third, Tense: past, VerbForm: finite, Voice: active	to have as a custom; to believe
1.4.3	1.4.3	Case: accusative, Gender: masculine, Number: singular	
Ἄρτεμις	Ἄρτεμις	Case: nominative, Gender: feminine, Number: singular	Artemis
σεμηνὴ	σεμηνός	Case: nominative, Degree: positive, Gender: feminine, Number: singular	
ἦν	εἰμί	Aspect: imperfective, Mood: indicative, Number: singular, Person: third, Tense: past, VerbForm: finite, Voice: active	to be
αὐτοῖς	αὐτός	Case: dative, Gender: feminine, Number: plural	unemph. 3rd pers.pronoun; -self; the same 
1.4.4	1.4.4	Case: nominative, Gender: feminine, Number: singular	
Κατ	καί		and, also
ἐνιαυτὸν	ἐνιαυτός	Case: accusative, Gender: masculine, Number: singular	year
λαμπαδηδρομίαν	λαμπαδηδρομία	Case: accusative, Gender: feminine, Number: singular	the torch-race
ἦγον	ἄγω	Aspect: imperfective, Mood: indicative, Number: plural, Person: third, Tense: past, VerbForm: finite, Voice: active	to lead
1.4.5	1.4.5		
Πολλοὶ	πολύς	Case: nominative, Degree: positive, Gender: masculine, Number: plural	much, many
νεανίαι	νεανίης	Case: nominative, Gender: masculine, Number: plural	
ἠγωνίζοντο	ἀγωνίζομαι	Aspect: imperfective, Mood: indicative, Number: plural, Person: third, Tense: past, VerbForm: finite, Voice: middle	to contend for a prize
1.4.6	1.4.6		
Ἕκαστος	Ἕκαστος	Case: nominative, Degree: positive, Gender: masculine, Number: singular	
λαμπάδα	λαμπάς	Case: accusative, Gender: feminine, Number: singular	a torch
ἔφερεν	φερενόω	Aspect: imperfective, Mood: indicative, Number: singular, Person: third, Tense: past, VerbForm: finite, Voice: active	
1.4.7	1.4.7	Case: genitive, Gender: masculine, Number: singular	
Ὡρμῶντο	Ὡρμῶντος	Case: genitive, Gender: masculine, Number: singular	
Κεραμεικοῦ	Κεραμεικός	Case: genitive, Degree: positive, Gender: masculine, Number: singular	the Potters’ Quarter in Athens; (adj.) of Ceramus, in Caria
1.4.8	1.4.8	Case: genitive, Gender: masculine, Number: singular	
Ἔτρεχον	τρέχω	Aspect: imperfective, Mood: indicative, Number: plural, Person: third, Tense: past, VerbForm: finite, Voice: active	to run
ἀκρόπολιν	ἀκρόπολις	Case: accusative, Gender: feminine, Number: singular	the upper city
1.4.9	1.4.9	Case: genitive, Gender: masculine, Number: singular	
πρῶτος	πρῶτος	Case: nominative, Gender: masculine, Number: singular	first
ἀφίκετεο	ἀφικνέομαι	Aspect: perfective, Mood: imperative, Number: plural, Person: second, Tense: past, VerbForm: finite, Voice: active	to come to
λαμπάδα	λαμπάς	Case: accusative, Gender: feminine, Number: singular	a torch
αἰθομένην	αἱθέω	Case: accusative, Gender: feminine, Number: singular, Tense: present, VerbForm: participle, Voice: middle	
ἔχων	ἔχω	Case: nominative, Gender: masculine, Number: singular, Tense: present, VerbForm: participle, Voice: active	have, hold; be able; (+ adv.) be; (mid.) cling to, be next to (+ gen.)
ἐνίκα	νικάω	Aspect: perfective, Mood: indicative, Number: singular, Person: third, Tense: past, VerbForm: finite, Voice: active	to conquer, prevail, vanquish
1.5.0	1.5.0	Case: genitive, Gender: masculine, Number: singular	
The	οἶδα	Aspect: perfective, Mood: imperative, Number: singular, Person: second, Tense: past, VerbForm: finite, Voice: active	to know
Winds	Winds	Case: genitive, Gender: masculine, Number: singular	
1.5.1	1.5.1	Case: nominative, Gender: masculine, Number: singular	
Αἴολος	Αἴολος	Case: nominative, Gender: masculine, Number: singular	Aeolus
βασιλεύς	βασιλεύς	Case: nominative, Gender: masculine, Number: singular	a king, chief
ἐστι	εἰμί	Mood: indicative, Number: singular, Person: third, Tense: present, VerbForm: finite, Voice: active	to be
ἀνέμων	ἀνέμων	Case: genitive, Gender: masculine, Number: plural	
1.5.2	1.5.2	Case: accusative, Definiteness: definite, Gender: masculine, Number: plural, PrononimalType: demonstrative	
Βορέας	βορέας	Case: accusative, Gender: masculine, Number: plural	
ἐστὶ	εἰμί	Mood: indicative, Number: singular, Person: third, Tense: present, VerbForm: finite, Voice: active	to be
χαλεπώτατος	χαλεπός	Case: nominative, Degree: superlative, Gender: masculine, Number: singular	hard to bear, painful; difficult
πάντων	πᾶς	Case: genitive, Gender: masculine, Number: plural	all, the whole
ἀνέμων	ἀνέμων	Case: genitive, Gender: masculine, Number: plural	
1.5.3	1.5.3	Case: genitive, Gender: masculine, Number: singular	
πνεῦμα	πνεῦμα	Case: nominative, Gender: neuter, Number: singular	a blowing
φέρεται	φέρω	Mood: indicative, Number: singular, Person: third, Tense: present, VerbForm: finite, Voice: passive	to bear
ἄρκτου	ἄρκτους	Case: genitive, Gender: feminine, Number: singular	
1.5.4	1.5.4	Case: genitive, Gender: feminine, Number: singular	
Νότος	Νότος	Case: nominative, Gender: masculine, Number: singular	the south wind
ὑγρὸς	ὑγρός	Case: nominative, Degree: positive, Gender: masculine, Number: singular	wet, moist, running, fluid
βαρύς	βαρύς	Case: nominative, Degree: positive, Gender: masculine, Number: singular	heavy
ἐστιν	ἐστινᾶ		
1.5.5	1.5.5	Case: genitive, Gender: masculine, Number: singular	
Ἐκεῖνος	Ἐκεῖνος	Case: nominative, Gender: masculine, Number: singular	
ὄμβρους	ὄμβρος	Case: accusative, Gender: masculine, Number: plural	storm of rain, thunder-storm
θαλάσσης	θάλασσα	Case: genitive, Gender: feminine, Number: singular	the sea
φέρει	φέρω	Mood: indicative, Number: singular, Person: third, Tense: present, VerbForm: finite, Voice: active	to bear
1.5.6	1.5.6	Case: accusative, Gender: masculine, Number: singular	
Ζέφυρος	Ζέφυρος	Case: nominative, Gender: masculine, Number: singular	Zephyrus, the west wind
πραότερος	πραός	Case: nominative, Degree: comparative, Gender: masculine, Number: singular	
εὐμενέστερός	εὐμενής	Case: nominative, Degree: comparative, Gender: masculine, Number: singular	well-disposed, kindly
ἐστιν	εἰμί	Mood: indicative, Number: singular, Person: third, Tense: present, VerbForm: finite, Voice: active	to be
1.5.7	1.5.7	Case: genitive, Gender: masculine, Number: singular	
ἄνεμος	ἄνεμος	Case: nominative, Gender: masculine, Number: singular	wind
αὐδιαιτέραν	αὐδίας	Case: accusative, Degree: comparative, Gender: feminine, Number: singular	
ποιεῖ	ποιέω	Mood: indicative, Number: singular, Person: third, Tense: present, VerbForm: finite, Voice: active	to make, to do
θάλασσαν	θάλασσαν	Case: accusative, Gender: feminine, Number: singular	
1.5.8	ὅ.εις	Case: genitive, Gender: masculine, Number: singular, Person: third, PrononimalType: personal	
Εὖρος	Εὖρος	Case: nominative, Gender: masculine, Number: singular	the East wind
μέλας	μέλας	Case: nominative, Degree: positive, Gender: masculine, Number: singular	black
δυσμενής	δυσμενής	Case: nominative, Degree: positive, Gender: masculine, Number: singular	full of ill-will, hostile
ἐστιν	ἔστινον	Case: nominative, Gender: masculine, Number: singular	
1.5.9	1.5.9	Case: genitive, Gender: masculine, Number: singular	
πνεῦμαι	πνέμω	Mood: indicative, Number: singular, Person: first, Tense: present, VerbForm: finite, Voice: middle	
καίει	καίω	Mood: indicative, Number: singular, Person: third, Tense: present, VerbForm: finite, Voice: active	to light, kindle
πᾶσαν	πᾶς	Case: accusative, Gender: feminine, Number: singular	all, the whole
γῆν	γῆνος	Case: accusative, Gender: feminine, Number: singular	
1.6.0	1.6.0	Case: genitive, Gender: masculine, Number: singular	
Prometheus	Prometheus	Case: genitive, Degree: positive, Gender: masculine, Number: singular	
Stealing	Stealing	Case: genitive, Degree: positive, Gender: masculine, Number: singular	
Fire	Fire	Case: genitive, Degree: positive, Gender: masculine, Number: singular	
1.6.1	1.6.1	Case: genitive, Gender: masculine, Number: singular	
Προμηθεὺς	Προμηθεύς	Case: nominative, Gender: masculine, Number: singular	Prometheus
υἱὸς	υἱός	Case: nominative, Gender: masculine, Number: singular	a son
ἦν	εἰμί	Aspect: imperfective, Mood: indicative, Number: singular, Person: third, Tense: past, VerbForm: finite, Voice: active	to be
Ἰαπετοῦ	Ἰαπετός	Case: genitive, Gender: masculine, Number: singular	
Κλυμένης	Κλυμένης	Case: nominative, Gender: masculine, Number: singular	
1.6.2	1.6.2	Case: nominative, Gender: masculine, Number: singular	
Τέχνας	Τέχναι	Case: accusative, Gender: feminine, Number: plural	
πολλὰς	πολύς	Case: accusative, Degree: positive, Gender: feminine, Number: plural	much, many
θαυμασίας	θαυμάσιος	Case: accusative, Degree: positive, Gender: feminine, Number: plural	wondrous, wonderful, marvellous
ἐξευρεῖν	ἐξευρίσκω	Aspect: perfective, Tense: past, VerbForm: infinitive, Voice: active	to find out, discover
λέγεται	λέγω	Mood: indicative, Number: singular, Person: third, Tense: present, VerbForm: finite, Voice: middle	to say, tell, speak; epic and arch.: pick, gather
1.6.3	1.6.3	Case: genitive, Gender: masculine, Number: singular	
Πολλά	πολύς	Case: accusative, Degree: positive, Gender: neuter, Number: plural	much, many
ἐποίησε	ποιέω	Aspect: perfective, Mood: indicative, Number: singular, Person: third, Tense: past, VerbForm: finite, Voice: active	to make, to do
πῦρ	πῦρ	Case: accusative, Gender: neuter, Number: singular	fire
ἔδωκεν	δίδωμι	Aspect: perfective, Mood: indicative, Number: singular, Person: third, Tense: past, VerbForm: finite, Voice: active	to give
ἀνθρώποις	ἄνθρωπος	Case: dative, Gender: masculine, Number: plural	man, person, human
1.6.4	1.6.4	Case: dative, Degree: positive, Gender: masculine, Number: plural	
Ἐπὶ	ἐπί		on, upon with gen., dat., and acc.
ἀνέβη	ἀναβαίνω	Aspect: perfective, Mood: indicative, Number: singular, Person: third, Tense: past, VerbForm: finite, Voice: active	to go up, mount, to go up to
Ὀλυμπον	Ὀλυμπόν	Case: accusative, Gender: masculine, Number: singular	
θεῶν	θεός	Case: genitive, Gender: masculine, Number: plural	god
οἶκον	οἰκονή	Case: accusative, Gender: masculine, Number: singular	
1.6.5	ὅ.εις	Case: accusative, Gender: masculine, Number: singular, PrononimalType: relative	
Ἐντεῦθεν	Ἐντεῦθεν		
πῦρ	πῦρ	Case: accusative, Gender: neuter, Number: singular	fire
ἔκλεψεν	ἔκλλω	Aspect: perfective, Mood: indicative, Number: singular, Person: third, Tense: past, VerbForm: finite, Voice: active	
1.6.6	1.6.6	Case: nominative, Degree: positive, Gender: masculine, Number: singular	
ἀπέκρυψεν	ἀποκρύπτω	Aspect: perfective, Mood: indicative, Number: singular, Person: third, Tense: past, VerbForm: finite, Voice: active	to hide from, keep hidden from
νάρθηκι	νάρθηκις	Case: dative, Gender: feminine, Number: singular	
1.6.7	1.6.7	Case: genitive, Degree: positive, Gender: masculine, Number: singular	
θεοὶ	θεός	Case: nominative, Gender: masculine, Number: plural	god
μαθόντες	μανθάνω	Aspect: perfective, Case: nominative, Gender: masculine, Number: plural, Tense: past, VerbForm: participle, Voice: active	to learn
χαλεπῶς	χαλεπῶς	Degree: positive	with difficulty
ἔφερον	φερονέω	Aspect: imperfective, Mood: indicative, Number: plural, Person: third, Tense: past, VerbForm: finite, Voice: active	
1.6.8	1.6.8	Case: accusative, Gender: masculine, Number: singular	
Ἔδοξεν	δοκέω	Aspect: perfective, Mood: indicative, Number: singular, Person: third, Tense: past, VerbForm: finite, Voice: active	seem, impers. it seems best..
αὐτοῖς	αὐτός	Case: dative, Gender: masculine, Number: plural, Person: third, PrononimalType: personal	unemph. 3rd pers.pronoun; -self; the same 
αὐτὸν	αὐτός	Case: accusative, Gender: masculine, Number: singular, Person: third, PrononimalType: personal	unemph. 3rd pers.pronoun; -self; the same 
τιμωρεῖσθαι	τιμωρέω	Tense: present, VerbForm: infinitive, Voice: middle	to seek, exact vengeance; help to retaliate
1.6.9	1.6.9	Case: accusative, Gender: masculine, Number: singular	
Ὅθεν	ὅθεν	PrononimalType: relative	from where, whence
ἀνθρώπους	ἄνθρωπος	Case: accusative, Gender: masculine, Number: plural	man, person, human
ὠφελήσας	ὠφελέω	Aspect: perfective, Case: nominative, Gender: masculine, Number: singular, Tense: past, VerbForm: participle, Voice: active	to help, aid, assist, to be of use
ἄδικα	ἄδικος	Case: accusative, Degree: positive, Gender: neuter, Number: plural	wrong-doing, unrighteous, unjust
ἔπαθεν	παθένχομαι	Aspect: perfective, Mood: indicative, Number: singular, Person: third, Tense: past, VerbForm: finite, Voice: active	
1.7.0	1.7.0	Case: genitive, Gender: masculine, Number: singular	
Hoplite	Hoplite	Case: genitive, Degree: positive, Gender: masculine, Number: singular	
1.7.1	1.7.1	Case: genitive, Gender: masculine, Number: singular	
Ἕλληνες	Ἕλλην	Case: nominative, Gender: masculine, Number: plural	Hellen; Greek
κατά	κατά		down, against with gen.; according to, throughout with acc.
γῆν	γῆ	Case: accusative, Gender: feminine, Number: singular	earth
θάλασσαν	θάλασσα	Case: accusative, Gender: feminine, Number: singular	the sea
ἐμάχοντο	μάχομαι	Aspect: imperfective, Mood: indicative, Number: plural, Person: third, Tense: past, VerbForm: finite, Voice: middle	to fight
1.7.2	1.7.2	Case: genitive, Gender: masculine, Number: singular	
πόλεις	πόλις	Case: nominative, Gender: feminine, Number: plural	a city
ἀλλήλαις	ἀλλήλων	Case: nominative, Degree: positive, Gender: feminine, Number: plural	of one another, to one another, one another
πολλάκις	πολλάκις		many times, often, oft
ἐπεστράτευον	ἐπεστράτεύω	Aspect: imperfective, Mood: indicative, Number: plural, Person: third, Tense: past, VerbForm: finite, Voice: active	
1.7.3	1.7.3	Case: genitive, Gender: masculine, Number: singular	
Ἀθηναῖοι	Ἀθηναῖος	Case: nominative, Degree: positive, Gender: masculine, Number: plural	Athenian, of Athens
Λακεδαιμόνιοι	Λακεδαιμόνιος	Case: nominative, Degree: positive, Gender: masculine, Number: plural	Spartan
κλεινότατοι	κλεινός	Case: nominative, Degree: superlative, Gender: masculine, Number: plural	famous, renowned, illustrious
ἦσαν	εἰμί	Aspect: imperfective, Mood: indicative, Number: plural, Person: third, Tense: past, VerbForm: finite, Voice: active	to be
Ἑλλήνων	Ἑλλήνων	Case: genitive, Gender: masculine, Number: plural	
1.7.4	1.7.4	Case: nominative, Gender: masculine, Number: singular	
Ὁπλίτης	Ὁπλίτης	Case: nominative, Gender: masculine, Number: singular	
πεζῇ	πεζῇ		
ἐμάχετο	μάχομαι	Aspect: imperfective, Mood: indicative, Number: singular, Person: third, Tense: past, VerbForm: finite, Voice: middle	to fight
1.7.5	1.7.5		
Βαρέα	Βαρύς	Case: accusative, Degree: positive, Gender: neuter, Number: plural	
ὅπλα	ὅπλον	Case: accusative, Gender: neuter, Number: plural	a tool, implement, (pl.) arms, weapons
ἔφερεν	φέρω	Aspect: imperfective, Mood: indicative, Number: singular, Person: third, Tense: past, VerbForm: finite, Voice: active	to bear
μάχῃ	μάχη	Case: dative, Gender: feminine, Number: singular	battle, fight, combat
1.7.6	1.7.6	Case: genitive, Degree: positive, Gender: masculine, Number: singular	
Ἦν	εἰμί	Aspect: imperfective, Mood: indicative, Number: singular, Person: third, Tense: past, VerbForm: finite, Voice: active	to be
αὐτῷ	αὐτός	Case: dative, Gender: masculine, Number: singular, Person: third, PrononimalType: personal	unemph. 3rd pers.pronoun; -self; the same 
δόρυ	δόρυ	Case: nominative, Gender: neuter, Number: singular	tree, plank, spear
μέγα	μέγας	Case: nominative, Degree: positive, Gender: neuter, Number: singular	big, great
ὅπλον	ὅπλον	Case: nominative, Gender: neuter, Number: singular	a tool, implement, (pl.) arms, weapons
1.7.7	1.7.7	Case: nominative, Degree: positive, Gender: neuter, Number: singular	
ψιλοὶ	ψιλός	Case: nominative, Degree: positive, Gender: masculine, Number: plural	bare, stripped; (soldier) without heavy armor, light troops
ξυνεστρατεύοντο	ξυστρατεύω	Aspect: imperfective, Mood: indicative, Number: plural, Person: third, Tense: past, VerbForm: finite, Voice: middle	
ὁπλίταις	ὁπλίτης	Case: dative, Gender: masculine, Number: plural	heavy-armed, armed
1.7.8	ὅ.εις	Case: genitive, Gender: masculine, Number: singular, Person: third, PrononimalType: personal	
ὀλίγα	ὀλίγος	Case: accusative, Degree: positive, Gender: neuter, Number: plural	few, little, scanty, small
ὅπλα	ὅπλον	Case: accusative, Gender: neuter, Number: plural	a tool, implement, (pl.) arms, weapons
ἔφερον	φερονέω	Aspect: imperfective, Mood: indicative, Number: plural, Person: third, Tense: past, VerbForm: finite, Voice: active	
1.7.9	1.7.9	Case: accusative, Gender: masculine, Number: singular	
Λακεδαιμόνιοι	Λακεδαιμόνιος	Case: nominative, Degree: positive, Gender: masculine, Number: plural	Spartan
τέλος	τέλος	Case: accusative, Gender: neuter, Number: singular	end, authority, fulfilment, taxes, duty
ἐνίκησαν	νικάω	Aspect: perfective, Mood: indicative, Number: plural, Person: third, Tense: past, VerbForm: finite, Voice: active	to conquer, prevail, vanquish
Ἀθηναίους	Ἀθηναῖος	Case: accusative, Degree: positive, Gender: masculine, Number: plural	Athenian, of Athens
1.8.0	1.8.0	Case: genitive, Gender: masculine, Number: singular	
Artemis	Artemis	Case: genitive, Degree: positive, Gender: masculine, Number: singular	
1.8.1	1.8.1	Case: genitive, Gender: masculine, Number: singular	
Ἄρτεμις	Ἄρτεμις	Case: nominative, Gender: feminine, Number: singular	Artemis
Ἀπόλλωνος	Ἀπόλλων	Case: genitive, Gender: masculine, Number: singular	Apollo
κασίγνητος	κασίγνητος	Case: nominative, Degree: positive, Gender: masculine, Number: singular	a brother; adj of a brother; sibling
ἦν	εἰμί	Mood: indicative, Number: singular, Person: third, Tense: present, VerbForm: finite, Voice: active	to be
1.8.2	1.8.2	Case: genitive, Gender: masculine, Number: singular	
Σοφοκλῆς	Σοφοκλῆς	Case: nominative, Gender: masculine, Number: singular	Sophocles
ὀνομάζει	ὀνομάζω	Mood: indicative, Number: singular, Person: third, Tense: present, VerbForm: finite, Voice: active	to name
αὐτὴν	αὐτός	Case: accusative, Gender: feminine, Number: singular, Person: third, PrononimalType: personal	unemph. 3rd pers.pronoun; -self; the same 
