2.1.0	2.1.0	{Case: [genitive], Gender: [masculine], Number: [singular]}	
Ἰάσονι	Ἰάσων	{Case: [dative], Gender: [masculine], Number: [singular]}	Jason
Ἀργοναύταις,	Ἀργοναύτης	{Case: [dative], Gender: [masculine], Number: [plural]}	a sailor in the ship Argo, an Argonaut
ἐπεὶ	ἐπεί	{}	after, since, when
ἐκεῖνοι	ἐκεῖνος	{Case: [nominative], Gender: [masculine], Number: [plural]}	that over there, that
εὐτυχήσαντες	εὐτυχέω	{Aspect: [perfective], Case: [nominative], Gender: [masculine], Number: [plural], Tense: [past], VerbForm: [participle], Voice: [active]}	to be well off, successful, prosperous
ἐφ	ἐάω	{Aspect: [perfective], Mood: [indicative], Number: [plural], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to let, suffer, allow, permit
ἐστρατεύοντο	στρατεύω	{Aspect: [imperfective], Mood: [indicative], Number: [plural], Person: [third], Tense: [past], VerbForm: [finite], Voice: [middle]}	to serve in war, serve as a soldier, do military service, take the field, march
φέροντες	φέρω	{Case: [nominative], Gender: [masculine], Number: [plural], Tense: [present], VerbForm: [participle], Voice: [active]}	to bear
χρυσοῦν	χρύσεος	{Case: [accusative], Degree: [positive], Gender: [masculine], Number: [singular]}	golden, of gold, decked
πόκον	πόκος	{Case: [accusative], Gender: [masculine], Number: [singular]}	wool
κατῆλθον,	κατέρχομαι	{Aspect: [perfective], Mood: [indicative], Number: [plural], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to go down from; return from exile
Ὀρφεὺς	Ὀρφεύς	{Case: [nominative], Gender: [masculine], Number: [singular]}	Orpheus
Θρᾴκῃ	Θρᾴκη	{Case: [dative], Gender: [feminine], Number: [singular]}	Thrace
κατῴκησεν.	κατοικέω	{Aspect: [perfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to settle; to inhabit
ἔγημεν	γαμέω	{Aspect: [perfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to marry
ἐκεῖ	ἐκεῖ	{}	there, in that place
νύμφην	νύμφη	{Case: [accusative], Gender: [feminine], Number: [singular]}	a young wife, bride
ὀνόματι	ὄνομα	{Case: [dative], Gender: [neuter], Number: [singular]}	name
Εὐρυδίκην·	Εὐρυδίκην	{Case: [accusative], Gender: [feminine], Number: [singular]}	
ἀλλ	ἀλλ	{}	
γυνὴ	γυνή	{Case: [nominative], Gender: [feminine], Number: [singular]}	a woman
ὄφεως	ὄφις	{Case: [genitive], Gender: [masculine], Number: [singular]}	a serpent, snake
δηχθεῖσα	δηχόω	{Aspect: [perfective], Case: [nominative], Gender: [feminine], Number: [singular], Tense: [past], VerbForm: [participle], Voice: [passive]}	
ἀπέθανεν,	ἀποθνῄσκω	{Aspect: [perfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to die, be killed
Ὀρφεῖ	Ὀρφείς	{Case: [dative], Gender: [masculine], Number: [singular]}	
ἔδοξε	δοκέω	{Aspect: [perfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	seem, impers. it seems best..
βαρέως	βαρέως	{Degree: [positive]}	
φέροντι	φέρω	{Case: [dative], Gender: [masculine], Number: [singular], Tense: [present], VerbForm: [participle], Voice: [active]}	to bear
ᾍδου	ὦδος	{Case: [genitive], Gender: [masculine], Number: [singular]}	
μετ	μετ	{Aspect: [perfective], Tense: [past], VerbForm: [infinitive], Voice: [active]}	
αὐτὴν	αὐτός	{Case: [accusative], Gender: [feminine], Number: [singular], Person: [third], PrononimalType: [personal]}	unemph. 3rd pers.pronoun; -self; [the] same 
κατιέναι.	κατοναίνω	{Tense: [present], VerbForm: [infinitive], Voice: [active]}	
πολλὰ	πολύς	{Case: [accusative], Degree: [positive], Gender: [neuter], Number: [plural]}	much, many
ἡδεά	ἡδέα	{Case: [accusative], Gender: [neuter], Number: [plural]}	
φωνήσας	φωνέω	{Aspect: [perfective], Case: [nominative], Gender: [masculine], Number: [singular], Tense: [past], VerbForm: [participle], Voice: [active]}	to produce a sound
μόλις	μόλις	{}	barely, scarcely
ἔπεισε	πείθω	{Aspect: [perfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to prevail upon, win over, persuade
Πλούτωνα	Πλούτων	{Case: [accusative], Gender: [masculine], Number: [singular]}	Pluto
κάτω	κάτω	{Degree: [positive]}	down, downwards
βασιλέα	βασιλεύς	{Case: [accusative], Gender: [masculine], Number: [singular]}	a king, chief
Εὐρυδίκην	Εὐρυδίκη	{Case: [accusative], Gender: [feminine], Number: [singular]}	Eurydice
ἀπολύειν.	ἀπολύω	{Tense: [present], VerbForm: [infinitive], Voice: [active]}	to loose from
ὑπέσχετο	ὑπισχνέομαι	{Aspect: [perfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [middle]}	to promise
ποιήσειν	ποιέω	{Tense: [future], VerbForm: [infinitive], Voice: [active]}	to make, to do
ἐφ	ἐφ	{}	
ᾧτε	ᾧτε	{}	
Ὀρφέα	Ὀρφεύς	{Case: [accusative], Gender: [masculine], Number: [singular]}	Orpheus
περιστρέφεσθαι	περιστρέφω	{Tense: [present], VerbForm: [infinitive], Voice: [middle]}	to whirl round
γυναῖκα	γυνή	{Case: [accusative], Gender: [feminine], Number: [singular]}	a woman
πρὶν	πρίν	{}	before; (after negated main clause) until
γῆν	γῆ	{Case: [accusative], Gender: [feminine], Number: [singular]}	earth
ᾍδου	ὦδος	{Case: [genitive], Gender: [masculine], Number: [singular]}	
ἀνέλθῃ.	ἀναιρέω	{Aspect: [perfective], Mood: [subjunctive], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to take up; to destroy
Ὀρφεὺς	Ὀρφεύς	{Case: [nominative], Gender: [masculine], Number: [singular]}	Orpheus
ἤδη	ἤδη	{}	already
ὁδῷ	ὁδός	{Case: [dative], Gender: [feminine], Number: [singular]}	a way, path, track, journey
περιεστρέψατο,	περιστρέφω	{Aspect: [perfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [middle]}	to whirl round
γυνὴ	γυνή	{Case: [nominative], Gender: [feminine], Number: [singular]}	a woman
αὐτίκα	αὐτίκα	{}	forthwith, straightway, at once
ἠφανίσθη.	ἀφανίζω	{Aspect: [perfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [passive]}	to make unseen, hide from sight
2.2.0	2.2.0	{Case: [genitive], Gender: [masculine], Number: [singular]}	
Leonidas	Leonidas	{Case: [genitive], Degree: [positive], Gender: [masculine], Number: [singular]}	
2.2.1	2.2.1	{}	
Λεωνίδας,	Λεωνίδαι	{Case: [accusative], Gender: [masculine], Number: [plural]}	
Λακεδαιμονίων	Λακεδαιμόνιος	{Case: [genitive], Degree: [positive], Gender: [masculine], Number: [plural]}	Spartan
βασιλεύς,	βασιλεύς,	{Case: [nominative], Gender: [masculine], Number: [singular]}	
ἀνδρειότατος	ἀνδρεῖος	{Case: [nominative], Degree: [superlative], Gender: [masculine], Number: [singular]}	of or for a man; courageous
ἦν	εἰμί	{Aspect: [imperfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to be
πάντων	πᾶς	{Case: [genitive], Gender: [masculine], Number: [plural]}	all, the whole
τότε	τότε	{}	at that time, then
ἀνθρώπων.	ἀνθρώπων	{Case: [genitive], Gender: [masculine], Number: [plural]}	
Ἀπέθανε	ἀποθνῄσκω	{Aspect: [perfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to die, be killed
μαχόμενος	μάχομαι	{Case: [nominative], Gender: [masculine], Number: [singular], Tense: [present], VerbForm: [participle], Voice: [middle]}	to fight
Πέρσας	Πέρσης	{Case: [accusative], Gender: [masculine], Number: [plural]}	a Persian; Perses (pr.n.)
Θερμοπύλαις,	Θερμοπύλαι	{Case: [dative], Gender: [feminine], Number: [plural]}	Thermopylae
ἔχων	ἔχω	{Case: [nominative], Gender: [masculine], Number: [singular], Tense: [present], VerbForm: [participle], Voice: [active]}	have, hold; be able; (+ adv.) be; (mid.) cling to, be next to (+ gen.)
τριακοσιόυς	τριακόσιος	{Case: [accusative], Degree: [positive], Gender: [masculine], Number: [plural]}	
μόνον	μόνος	{Case: [accusative], Degree: [positive], Gender: [neuter], Number: [singular]}	alone, left alone, forsaken solitary
ὁπλίτας,	ὁπλίτης	{Case: [accusative], Gender: [masculine], Number: [plural]}	heavy-armed, armed
πολεμίων	πολέμιος	{Case: [genitive], Degree: [positive], Gender: [masculine], Number: [plural]}	hostile; enemy
ἐλάσσους	ἐλάσσων	{Case: [accusative], Degree: [comparative], Gender: [masculine], Number: [plural]}	smaller, less
ἑκατὸν	ἑκατόν	{}	a hundred
μυριάδας	μυριάς	{Case: [accusative], Gender: [feminine], Number: [plural]}	a number of ten thousand, myriad
ἐχόντων.	χοντόν	{Case: [genitive], Gender: [masculine], Number: [plural], Tense: [present], VerbForm: [participle], Voice: [active]}	
Ἀλλ	ἀλλ	{}	
ὅμως	ὅμως	{}	all the same, nevertheless
ἐφοβήθη,	φοβέω	{Aspect: [perfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [passive]}	to put to flight, to terrify; mid. to fear
παρεκέλευσε	παρακαλεύω	{Aspect: [perfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	
στρατιώτας	στρατιώτης	{Case: [accusative], Gender: [masculine], Number: [plural]}	a citizen bound to military service
ἀθυμεῖν	ἀθυμέω	{Tense: [present], VerbForm: [infinitive], Voice: [active]}	to be disheartened, lose heart
ἀλλ	ἀλλῖς	{Case: [accusative], Gender: [masculine], Number: [singular], Person: [third], PrononimalType: [personal]}	
ἀνδρείως	ἀνδρείως	{Degree: [positive]}	
μάχεσθαι	μάχομαι	{Tense: [present], VerbForm: [infinitive], Voice: [middle]}	to fight
πατρίδος	πατρίς	{Case: [genitive], Gender: [feminine], Number: [singular]}	fatherland, homeland; of one’s father
γυναικῶν	γυνή	{Case: [genitive], Gender: [feminine], Number: [plural]}	a woman
τέκνων.	τέκνων	{Case: [genitive], Gender: [neuter], Number: [plural]}	
Λεωνίδᾳ	Λεωνίδης	{Case: [dative], Gender: [masculine], Number: [singular]}	Leonidas
στρατιᾶς	στρατιά	{Case: [genitive], Gender: [feminine], Number: [singular]}	army
ποτὲ	ποτε	{}	ever, sometime
Λακεδαιμονίων	Λακεδαιμόνιος	{Case: [genitive], Degree: [positive], Gender: [masculine], Number: [plural]}	Spartan
ἡγουμένῳ	ἡγέομαι	{Case: [dative], Gender: [masculine], Number: [singular], Tense: [present], VerbForm: [participle], Voice: [middle]}	to lead; to consider, believe
ἔφη	φημί	{Aspect: [imperfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to say, to claim
«Ἰδού,	«Ἰδού,	{Case: [genitive], Gender: [masculine], Number: [singular]}	
στρατηγέ,	στρατηγός	{Case: [vocative], Gender: [masculine], Number: [singular]}	the leader
πολέμιοι	πολέμιος	{Case: [nominative], Degree: [positive], Gender: [masculine], Number: [plural]}	hostile; enemy
πλησίον	πλησίον	{}	
ἡμῶν	ἡμεῖς	{Case: [genitive], Gender: [masculine], Number: [plural], Person: [first], PrononimalType: [personal]}	
εἰσίν.»	οἶσαι	{Mood: [imperative], Number: [plural], Person: [second], Tense: [present], VerbForm: [finite], Voice: [active]}	
Ἐκεῖνος	Ἐκεῖνος	{Case: [nominative], Gender: [masculine], Number: [singular]}	
οὐδὲν	οὐδείς	{Case: [accusative], Gender: [neuter], Number: [singular]}	not one, nobody
ταραχθείς,	ταράσσω	{Aspect: [perfective], Case: [nominative], Gender: [masculine], Number: [singular], Tense: [past], VerbForm: [participle], Voice: [passive]}	to stir, stir up, trouble
«Μᾶλλον	«Μᾶλλον	{Case: [accusative], Degree: [positive], Gender: [neuter], Number: [singular]}	
ἡσθείς	ἥδομαι	{Aspect: [perfective], Case: [nominative], Gender: [masculine], Number: [singular], Tense: [past], VerbForm: [participle], Voice: [passive]}	to enjoy oneself, take delight, take one's pleasure
,»	,»	{}	
ἀντεῖπεν,	ἀντιλέγω	{Aspect: [perfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to speak against; speak in turn, reply
«καὶ	κκαί	{}	
ἡμεῖς	ἡμεῖς	{Case: [nominative], Gender: [masculine], Number: [plural], Person: [first], PrononimalType: [personal]}	
πολεμίων.»	πολεμίων	{Case: [genitive], Degree: [positive], Gender: [masculine], Number: [plural]}	
2.3.0	2.3.0	{Case: [genitive], Gender: [masculine], Number: [singular]}	
Cleobis	Cleobis	{Case: [genitive], Degree: [positive], Gender: [masculine], Number: [singular]}	
and	and	{Case: [accusative], Gender: [feminine], Number: [singular]}	
Biton	Biton	{Case: [genitive], Gender: [masculine], Number: [singular]}	
2.3.1	2.3.1	{Case: [genitive], Gender: [masculine], Number: [singular]}	
Σόλων,	Σόλων	{Case: [nominative], Gender: [masculine], Number: [singular]}	Solon
Ἀθηναίων	Ἀθηναῖος	{Case: [genitive], Degree: [positive], Gender: [masculine], Number: [plural]}	Athenian, of Athens
νομοθέτης,	νομοθέτης,	{Case: [nominative], Gender: [masculine], Number: [singular]}	
ἐνόμιζέ	νομίζω	{Aspect: [imperfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to have as a custom; to believe
Κλέοβιν	Κλέοβις	{Case: [accusative], Gender: [masculine], Number: [singular]}	
Βίτωνα	Βίτων	{Case: [accusative], Gender: [masculine], Number: [singular]}	Biton
ὀλβιωτάτους	ὄλβιος	{Case: [accusative], Degree: [superlative], Gender: [masculine], Number: [plural]}	happy, blest
εἶναι	εἰμί	{Tense: [present], VerbForm: [infinitive], Voice: [active]}	to be
πάντων	πᾶς	{Case: [genitive], Gender: [masculine], Number: [plural]}	all, the whole
ἀνθρώπων·	ἄνθρωπος	{Case: [genitive], Gender: [masculine], Number: [plural]}	man, person, human
μόνον	μόνος	{Case: [accusative], Degree: [positive], Gender: [neuter], Number: [singular]}	alone, left alone, forsaken solitary
ζῶντας,	ζῶ	{Case: [accusative], Gender: [masculine], Number: [plural], Tense: [present], VerbForm: [participle], Voice: [active]}	live
ἀποθνήσκοντας	ἀποθνῄσκω	{Case: [accusative], Gender: [masculine], Number: [plural], Tense: [present], VerbForm: [participle], Voice: [active]}	to die, be killed
πάνυ	πάνυ	{}	altogether, entirely
ὀλβίους	ὄλβιος	{Case: [accusative], Degree: [positive], Gender: [masculine], Number: [plural]}	happy, blest
γεγονέναι.	γίγνομαι	{Aspect: [perfective], Tense: [past], VerbForm: [infinitive], Voice: [active]}	become, be born
Περὶ	περί	{}	around, round about with gen., dat., and acc.
νεανιῶν	νεανίας	{Case: [genitive], Gender: [masculine], Number: [plural]}	young man
τοιάδε	τοιόσδε	{Case: [accusative], Gender: [neuter], Number: [plural]}	such a
ἐλέγετο.	λέγω	{Aspect: [imperfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [middle]}	to say, tell, speak; epic and arch.: pick, gather
μήτηρ	μήτηρ	{Case: [nominative], Gender: [feminine], Number: [singular]}	a mother
αὐτῶν	αὐτός	{Case: [genitive], Gender: [masculine], Number: [plural], Person: [third], PrononimalType: [personal]}	unemph. 3rd pers.pronoun; -self; [the] same 
ἱέρεια	ἱέρειον	{Case: [nominative], Gender: [feminine], Number: [singular]}	
ἦν	εἰμί	{Aspect: [imperfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to be
Ἥρας	Ἥρας	{Case: [genitive], Gender: [feminine], Number: [singular]}	
ἱεροῦ	ἱερόν	{Case: [genitive], Gender: [neuter], Number: [singular]}	sanctuary
Ἄργει·	Ἄργεις	{Case: [dative], Gender: [feminine], Number: [singular]}	
ἑορτῇ	ἑορτή	{Case: [dative], Gender: [feminine], Number: [singular]}	a feast
Ἥρας	Ἥρας	{Case: [genitive], Gender: [feminine], Number: [singular]}	
ἔδει	δεῖ	{Aspect: [imperfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	it is necessary
αὐτὴν	αὐτός	{Case: [accusative], Gender: [feminine], Number: [singular], Person: [third], PrononimalType: [personal]}	unemph. 3rd pers.pronoun; -self; [the] same 
ἐλαύνεσθαι	ἐλαύνω	{Tense: [present], VerbForm: [infinitive], Voice: [middle]}	to drive, drive on, set in motion
ἱερὸν	ἱερόν	{Case: [accusative], Gender: [neuter], Number: [singular]}	sanctuary
ἱερᾷ	ἱερόν	{Case: [dative], Gender: [feminine], Number: [singular]}	sanctuary
ἁμάξῃ.	ἁμάσ	{Aspect: [perfective], Mood: [subjunctive], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	
Ξυνέβη	Ξυμαίνω	{Aspect: [perfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	
δέ	δέ	{}	but
ποτε	ποτε	{}	ever, sometime
βοῦς	βοῦς	{Case: [accusative], Gender: [masculine], Number: [plural]}	cow
καιρὸν	καιρός	{Case: [accusative], Gender: [masculine], Number: [singular]}	time; the right moment, opportunity
ἀγροῦ	ἀγρός	{Case: [genitive], Gender: [masculine], Number: [singular]}	fields, lands
παραγενέσθαι.	παραγίγνομαι	{Aspect: [perfective], Tense: [past], VerbForm: [infinitive], Voice: [middle]}	to come near, attend upon
Τότε	τότε	{}	at that time, then
νεανίαι,	νεανίης	{Case: [nominative], Gender: [masculine], Number: [plural]}	
φοβούμενοι	φοβέω	{Case: [nominative], Gender: [masculine], Number: [plural], Tense: [present], VerbForm: [participle], Voice: [middle]}	to put to flight, to terrify; mid. to fear
μήτηρ	μήτηρ	{Case: [nominative], Gender: [feminine], Number: [singular]}	a mother
ἀδύνατος	ἀδύνατος	{Case: [nominative], Degree: [positive], Gender: [masculine], Number: [singular]}	unable, impossible
ᾖ	εἰμί	{Mood: [subjunctive], Number: [singular], Person: [third], Tense: [present], VerbForm: [finite], Voice: [active]}	to be
μετέχειν	μετέχω	{Tense: [present], VerbForm: [infinitive], Voice: [active]}	to partake of, enjoy a share of, share in, take part in
ἑορτῆς,	ἑορτή	{Case: [genitive], Gender: [feminine], Number: [singular]}	a feast
ὑποδυσάμενοι	ὑποδύω	{Aspect: [perfective], Case: [nominative], Gender: [masculine], Number: [plural], Tense: [past], VerbForm: [participle], Voice: [middle]}	to put on under
ζυγὸν	ζυγόν	{Case: [accusative], Gender: [masculine], Number: [singular]}	yoke, pair
εἵλκυσαν	ἕλκω	{Aspect: [perfective], Mood: [indicative], Number: [plural], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to draw, drag
ἅμαξαν	ἄμαξα	{Case: [accusative], Gender: [feminine], Number: [singular]}	a wagon
πέντε	πέντε	{}	five
τεσσαράκοντα	τεσσαράκοντα	{}	forty
σταδίους	στάδιον	{Case: [accusative], Gender: [masculine], Number: [plural]}	a stade, = ca. 600 feet
θεοῦ	θεός	{Case: [genitive], Gender: [masculine], Number: [singular]}	god
ἱερόν.	ἱερόνη	{Case: [accusative], Gender: [neuter], Number: [singular]}	
2.3.2	2.3.2	{Case: [genitive], Gender: [masculine], Number: [singular]}	
μήτηρ,	μήτηρ	{Case: [nominative], Gender: [feminine], Number: [singular]}	a mother
περιχαρὴς	περιχαρής	{Case: [nominative], Degree: [positive], Gender: [masculine], Number: [singular]}	exceeding joyous
οὖσα	εἰμί	{Case: [nominative], Gender: [feminine], Number: [singular], Tense: [present], VerbForm: [participle], Voice: [active]}	to be
ἔργῳ,	ἔργῳ,	{Case: [dative], Gender: [neuter], Number: [singular]}	
ηὔξατο	αὐξάνω	{Aspect: [perfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [middle]}	to make large, increase, augment
Ἥραν	Ἥρα	{Case: [accusative], Gender: [feminine], Number: [singular]}	Hera
δοῦναι	δίδωμι	{Aspect: [perfective], Tense: [past], VerbForm: [infinitive], Voice: [active]}	to give
τέκνοις,	τέκνον	{Case: [dative], Gender: [neuter], Number: [plural]}	a child
αὐτὴν	αὐτός	{Case: [accusative], Gender: [feminine], Number: [singular], Person: [third], PrononimalType: [personal]}	unemph. 3rd pers.pronoun; -self; [the] same 
τιμήσασι,	τιμάω	{Aspect: [perfective], Case: [dative], Gender: [masculine], Number: [plural], Tense: [past], VerbForm: [participle], Voice: [active]}	to honor; to value something at a price (gen.)
δωρον	δωρον	{Case: [accusative], Gender: [neuter], Number: [singular]}	
οἷον	οἷος	{Case: [accusative], Gender: [neuter], Number: [singular], PrononimalType: [relative]}	(such a kind) as; for οἷός τε see οἷος III.2
ἄριστον	ἀγαθός	{Case: [accusative], Degree: [superlative], Gender: [neuter], Number: [singular]}	good
ἀνθρώποις	ἄνθρωπος	{Case: [dative], Gender: [masculine], Number: [plural]}	man, person, human
εἶναι	εἰμί	{Tense: [present], VerbForm: [infinitive], Voice: [active]}	to be
δοκεῖ.	δοκέω	{Mood: [indicative], Number: [singular], Person: [third], Tense: [present], VerbForm: [finite], Voice: [active]}	seem, impers. it seems best..
Μετὰ	μετά	{}	(w gen) with, among; (w acc) after
εὐχήν,	εὐχήν	{Case: [accusative], Gender: [feminine], Number: [singular]}	
πάντες	πᾶς	{Case: [nominative], Gender: [masculine], Number: [plural]}	all, the whole
ἔθυσαν	θύω	{Aspect: [perfective], Mood: [indicative], Number: [plural], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to sacrifice
ἐδείπνησαν	δειπνέω	{Aspect: [perfective], Mood: [indicative], Number: [plural], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to make a meal
νόμον.	νόμον	{Case: [accusative], Gender: [masculine], Number: [singular]}	
Ὕστερον	ὕστερος	{Case: [accusative], Degree: [positive], Gender: [neuter], Number: [singular]}	latter, last
νεανίαι	νεανίης	{Case: [nominative], Gender: [masculine], Number: [plural]}	
αὐτῷ	αὐτός	{Case: [dative], Gender: [masculine], Number: [singular]}	unemph. 3rd pers.pronoun; -self; [the] same 
ἱερῷ	ἱερόν	{Case: [dative], Gender: [neuter], Number: [singular]}	sanctuary
κατεκοιμήθησαν·	κατακοιμάω	{Aspect: [perfective], Mood: [indicative], Number: [plural], Person: [third], Tense: [past], VerbForm: [finite], Voice: [passive]}	to sleep through
ἀλλ	ἀλλ	{}	
οὔποτε	οὔποτε	{}	never
ἀνέστησαν,	ἀνίστημι	{Aspect: [perfective], Mood: [indicative], Number: [plural], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to make to stand up, raise up
ὑπνοῦντες	ὑπνέω	{Case: [nominative], Gender: [masculine], Number: [plural], Tense: [present], VerbForm: [participle], Voice: [active]}	
